SNAP Income Pilot Translations 09132024(09092024) (1)
Translation Key,English,English (removed code),Spanish - from DTA,Spanish,Client or Staff-facing?,Added to Confluence?,Page/location,Error or info banner?,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.header.ma,DTA has sent you an invitation to verify your income,,"El Departamento de Asistencia Transitoria (DTA, por sus siglas en inglés) le ha enviado una invitación para verificar sus ingresos","El Departamento de Asistencia Transitoria (DTA, por sus siglas en inglés) le ha enviado una invitación para verificar sus ingresos",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.header.nyc,HRA has sent you an invitation to verify your income,,"La Administración de Recursos Humanos (HRA, por sus siglas en inglés) le ha enviado una invitación para verificar sus ingresos","La Administración de Recursos Humanos (HRA, por sus siglas en inglés) le ha enviado una invitación para verificar sus ingresos",Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.header.sandbox,CBV Test Agency has sent you an invitation to verify your income,,La Agencia de pruebas CBV le ha enviado una invitación para verificar sus ingresos,La Agencia de pruebas CBV le ha enviado una invitación para verificar sus ingresos,Client,No,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.subject.default,Verify your income for your SNAP application or renewal,,Verifique sus ingresos para su solicitud o renovación del SNAP,Verifique sus ingresos para su solicitud o renovación de SNAP,Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.applicant_mailer.invitation_email.subject.ma,Verify your income to renew your SNAP benefits,,Verifique sus ingresos para renovar sus beneficios del SNAP,Verifique sus ingresos para renovar sus beneficios de SNAP,Client,Yes,Email invite,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.create.invite_failed,Error sending invitation to %{email_address}: %{error_message}.,Error sending invitation to [email address]: [error message - translated elsewhere],Error al enviar invitación a [dirección de correo electrónico]: [mensaje de error - traducido a otro lugar],Error al enviar la invitació a %{email_address}: %{error_message},Staff,Need to add to error scenarios,Staff dashboard,Yes,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.create.invite_success,Successfully delivered invitation to %{email_address}.,Successfully delivered invitation to [email address].,Invitación entregada con éxito a [dirección de correo electrónico].,La invitación ha sido enviada con éxito a %{email_address}.,Staff,Need to add to error scenarios,Staff dashboard,Yes,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.incorrect_site_id,Unable to send invitation due to missing site configuration.,,No se ha podido enviar la invitación porque falta la configuración del sitio.,No se ha podido enviar la invitación porque falta la configuración del sitio.,Staff,Need to add to error scenarios,Staff dashboard,Yes,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.agency_id_number,Client's agency ID number,,Número de identificación de la agencia del cliente,Número de identificación de la agencia del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.beacon_id,Your WELID,,Su WELID,Su WELID,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.email_address,Client's email address,,Dirección de correo electrónico del cliente,Dirección de correo electrónico del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.first_name,Client's first name,,Nombre del cliente,Nombre del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.last_name,Client's last name,,Apellido del cliente,Apellido del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.middle_name,Client's middle name,,Segundo nombre del cliente,Segundo nombre del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.ma.invite.snap_application_date,SNAP application date,,Fecha de solicitud del SNAP,Fecha de solicitud de SNAP,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.new.description_html,"<p>Provide some details about the client so we can send them a link to verify their pay information. We'll request the past %{pay_income_days} days of income, based on the client's application date.</p><p>If multiple members of the household earn income, send an invite link to each household member.</p>","Provide some details about the client so we can send them a link to verify their pay information. We'll request the past [#] days of income, based on the client's application date. If multiple members of the household earn income, send an invite link to each household member.","Suministre algunos datos sobre el cliente para que podamos enviarle un enlace para verificar su información de pago. Solicitaremos los últimos [#] días de ingresos, en base a la fecha de solicitud del cliente. Si varios miembros del grupo familiar devengan ingresos, envíe un enlace de invitación a cada miembro de la familia.","<p>Provea algunos datos sobre el cliente para que podamos enviarle un enlace para verificar su información de pago. Solicitaremos los últimos %{pay_income_days} días de ingresos, en base a la fecha de solicitud del cliente.</p><p>Si varios miembros de la familia reciben ingresos, envíe un enlace de invitación a cada miembro de la familia.</p>",Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.new.form.submit,Send Invitation,,Envíe una invitación,Envíe una invitación,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.new.header,Send an invite link,,Envíe un enlace de invitación,Envíe un enlace de invitación,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.case_number,Case number,,Número de caso,Número de caso,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.client_id_number,CIN,,CIN,CIN,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.email_address,Client's email address,,Dirección de correo electrónico del cliente,Dirección de correo electrónico del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.first_name,Client's first name,,Nombre del cliente,Nombre del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.last_name,Client's last name,,Apellido del cliente,Apellido del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.middle_name,Client's middle name,,Segundo nombre del cliente,Segundo nombre del cliente,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.cbv_flow_invitations.nyc.invite.snap_application_date,SNAP application date,,Fecha de solicitud del SNAP,Fecha de solicitud del SNAP,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.create_invitation,Create a new invitation,,Cree una nueva invitación,Cree una nueva invitación,Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.expires_within.one,%{count} day,[#] day,[#] día,%{count} día,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.expires_within.other,%{count} days,[#] days,[#] días,%{count} días,Staff,No need for translation,Staff invite ,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.header,Invite clients to the SNAP Income Pilot,,Invite a clientes al SNAP Income Pilot,Invite a clientes al SNAP Income Pilot,Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.helpful_reminders,Helpful reminders,,Recordatorios útiles,Recordatorios útiles,Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.invite_clients,"You can invite clients to use this income verification tool by clicking the ""Create a new invitation"" button below.",,Puede invitar a los clientes a usar esta herramienta de verificación haciendo clic en el botón «Create a new invitation» (Crear una nueva invitación) a continuación.,Puede invitar a los clientes a usar esta herramienta de verificación haciendo clic en el botón «Create a new invitation» (Crear una nueva invitación) a continuación.,Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.reminder_1,"If multiple household members earn income, send an invite link to each member individually.",,"Si varios miembros del grupo familiar devengan ingresos, envíe un enlace de invitación a cada miembro individualmente.","Si varios miembros de la familia reciben ingresos, envíe un enlace de invitación a cada miembro individualmente.",Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.reminder_2,"If an invitation link has expired, you can generate a new one on this page. Links expire if not accessed within %{expires_days} or if they have already been used to share the PDF report.","If an invitation link has expired, you can generate a new one on this page. Links expire if not accessed within [#] or if they have already been used to share the PDF report.","Si un enlace de invitación ha expirado, puede generar uno nuevo en esta página. Los enlaces caducan si no se accede a ellos en un plazo de [#] o si ya han sido usados para compartir el informe PDF.","Si un enlace de invitación ha expirado, puede generar uno nuevo en esta página. Los enlaces caducan si no se accede a ellos en un plazo de  %{expires_days} o si ya han sido usados para compartir el informe PDF.",Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.reminder_3,"For security reasons, you'll be logged out after 30 minutes of inactivity.",,"Por motivos de seguridad, se cerrará la sesión después de 30 minutos de inactividad.","Por motivos de seguridad, se cerrará la sesión después de 30 minutos de inactividad.",Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.dashboards.show.reminder_4,"If you encounter any issues with the tool, please use the Report feedback or bugs link.",,"Si tiene algún problema con la herramienta, use el enlace de Notificación de comentarios o errores.","Si tiene algún problema con la herramienta, use el enlace de Reporte comentarios o errores.",Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.continue_to_login.ma,Continue to DTA log in page,,Avance a la página de inicio de sesión del DTA.,Continúe a la página de inicio de sesión del DTA,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.continue_to_login.nyc,Log in with your LAN ID,,"Inicie sesión con su identificación de la red de área local (LAN ID, por sus siglas en inglés)","Inicie sesión con su identificación de la red de área local (LAN ID, por sus siglas en inglés)",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.continue_to_login.sandbox,Continue to CBV Test Agency log in page,,Avance a la página de inicio de sesión de la Agencia de pruebas CBV,Avance a la página de inicio de sesión de la Agencia de pruebas CBV,Staff,No need for translation,  ,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.description.ma,"This site allows staff at participating agencies to send clients a link to verify their income, so they can easily send pay information to the agency.",,"Este sitio le permite al personal de las agencias participantes enviar un enlace a los clientes para verificar sus ingresos, para que puedan enviar información de pago a la agencia fácilmente.","Este sitio le permite al personal de las agencias participantes enviar un enlace a los clientes para verificar sus ingresos, para que puedan enviar información de pago a la agencia fácilmente.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.description.nyc,"This site allows staff at participating agencies to send clients a link to verify their income, so they can easily send pay information to the agency.",,"Este sitio le permite al personal de las agencias participantes enviar un enlace a los clientes para verificar sus ingresos, para que puedan enviar información de pago a la agencia fácilmente.","Este sitio le permite al personal de las agencias participantes enviar un enlace a los clientes para verificar sus ingresos, para que puedan enviar información de pago a la agencia fácilmente.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.description.sandbox,"This site allows staff at participating agencies to send clients a link to verify their income, so they can easily send pay information to the agency.",,"Este sitio le permite al personal de las agencias participantes enviar un enlace a los clientes para verificar sus ingresos, para que puedan enviar información de pago a la agencia fácilmente.","Este sitio le permite al personal de las agencias participantes enviar un enlace a los clientes para verificar sus ingresos, para que puedan enviar información de pago a la agencia fácilmente.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.header.ma,DTA is piloting a new way to quickly verify clients' income,,El DTA está poniendo a prueba una nueva forma de verificar rápidamente los ingresos de los clientes,El DTA está lanzando una nueva forma de verificar rápidamente los ingresos de sus clientes,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.header.nyc,HRA is piloting a new way to quickly verify clients' income,,"La Administración de Recursos Humanos (HRA, por sus siglas en inglés) está poniendo a prueba una nueva forma de verificar rápidamente los ingresos de los clientes","La Administración de Recursos Humanos (HRA, por sus siglas en inglés) está lanzazndo una nueva forma de verificar rápidamente los ingresos de sus clientes",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.header.sandbox,CBV Test Agency is piloting a new way to quickly verify clients' income,,La Agencia de pruebas CBV está poniendo a prueba una nueva forma de verificar rápidamente los ingresos de los clientes,La Agencia de pruebas CBV está lanzando una nueva forma de verificar rápidamente los ingresos de los clientes,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.how_it_works,How it works,,Cómo funciona,Cómo funciona,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_1_description,"For security, you will be automatically logged out after 30 minutes of inactivity.",,"Por seguridad, se cerrará la sesión después de 30 minutos de inactividad.","Por seguridad, se cerrará la sesión después de 30 minutos de inactividad.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_1_title.default,Log in using your existing agency account.,,Inicie sesión usando su cuenta existente de la agencia.,Inicie sesión usando su cuenta existente de la agencia.,Staff,No need for translation,  ,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_1_title.nyc,Log in using your existing agency account (LAN ID).,,Inicie sesión usando su cuenta existente de la agencia (LAN ID),Inicie sesión usando su cuenta existente de la agencia (LAN ID).,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_2_description,"Invitations are for individual clients. If you need to verify income for multiple people in a household, you will need to create a new invitation for each person.",,"Las invitaciones son para clientes particulares. Si necesita verificar los ingresos de varias personas de un grupo familiar, tendrá que crear una invitación nueva para cada persona.","Las invitaciones son para clientes individuales. Si necesita verificar los ingresos de varios miembros en una familia, tendrá que crear una invitación nueva para cada persona.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_2_title,"Click the ""Create a new invitation"" button.",,Haga clic en el botón «Create a new invitation» (Cree una nueva invitación).,Haga clic en el botón «Create a new invitation» (Cree una nueva invitación).,Staff,No need for translation,Staff dashboard,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_3_description,"When you submit their name, ID number, email address, and application date, we'll email them an invitation link to verify their income.",,"Cuando usted envíe el nombre, número de identificación, dirección de correo electrónico y fecha de solicitud (del cliente), le enviaremos (al cliente) un enlace de invitación para que verifiquen sus ingresos.","Cuando usted envíe el nombre, número de identificación, dirección de correo electrónico y fecha de solicitud (del cliente), enviaremos al cliente un enlace de invitación para que verifique sus ingresos.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_3_title,Provide information about the client. We'll send them an invitation.,,Suministre información del cliente. Le enviaremos una invitación.,Suministre información del cliente. Le enviaremos una invitación.,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_4_description,The information will be uploaded as a PDF to the case.,,La información se cargará al caso como un PDF.,La información se cargará al caso como un PDF.,Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker.entries.index.step_4_title,"Once the client verifies their income, you'll receive their income information.",,"Una vez que el cliente verifique sus ingresos, usted recibirá esa información de ingresos.","Una vez que el cliente verifique sus ingresos, usted recibirá esa información de ingresos.",Staff,No need for translation,Staff entry,,,,,,,,,,,,,,,,,,,
en.caseworker_mailer.summary_email.greeting,"Hello,",,¡Hola!,¡Hola!,Staff,No need for translation,Staff incoming report email,,,,,,,,,,,,,,,,,,,
en.caseworker_mailer.summary_email.subject,Income Verification Report %{case_number} has been received,Income Verification Report [#] has been received,Se ha recibido el Informe [#] de verificación de ingresos,Se ha recibido el Informe %{case_number} de verificación de ingresos,Staff,No need for translation,Staff incoming report email,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.create.notice_no_answer,You must select an answer to continue.,,Debe seleccionar una respuesta para continuar.,Debe seleccionar una respuesta para continuar.,Client,,Add job,Yes,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_no_bullet_1,You don't have another <em>current or recent job</em> job,You don’t have another current or recent job,Usted no tiene otro trabajo actual o reciente ,Usted no tiene otro trabajo <em>actual o reciente </em>,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_no_bullet_2,"You have a job that pays you via PayPal, Venmo, Cash App, etc",,"Usted tiene un trabajo que le paga por PayPal, Venmo, Cash App, etc.","Usted tiene un trabajo que le paga por PayPal, Venmo, Cash App, etc.",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_no_bullet_3,You have a job that pays you in cash,,Usted tiene un trabajo que le paga en efectivo,Usted tiene un trabajo que le paga en efectivo,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_no_bullet_4,You have a job that pays you with a paper check and you cannot view your paycheck online,,Usted tiene un trabajo que le paga con un cheque impreso y no puede ver su cheque de pago en línea,Usted tiene un trabajo que le paga con un cheque impreso y no puede ver su cheque de pago en línea,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_no_bullet_5,You have a job that issues a 1099,,Usted tiene un trabajo que emite un 1099,Usted tiene un trabajo que emite un 1099,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_no_header,Answer NO if:,,Responda que NO si:,Responda que NO si:,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_yes_bullet_1,Your job has an online payroll provider,,Su trabajo tiene un proveedor de nómina en línea,Su trabajo tiene un proveedor de nómina en línea,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_yes_bullet_2,Your job lets you view pay stubs online,,Su trabajo le permite ver sus talones de pago en línea,Su trabajo le permite ver sus talones de pago en línea,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_yes_bullet_3,"Your job is app-based (Uber, DoorDash, Lyft, Instacart, etc.)",,"Su trabajo se basa en aplicaciones (Uber, DoorDash, Lyft, Instacart, etc.)","Su trabajo se basa en aplicaciones (Uber, DoorDash, Lyft, Instacart, etc.)",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.answer_yes_header_html,Answer YES if <em>any</em> of these are true about your current or recent job:,Answer YES if any of these are true about your current or recent job:,Responda que SÍ si cualquiera de las siguientes (afirmaciones) son ciertas sobre su trabajo actual o reciente:,Responda que SÍ si <em>cualquiera</em> de las siguientes afirmaciones son ciertas sobre su trabajo actual o reciente:,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.continue,Continue,,Continuar,Continuar,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.criteria_disclaimer,"Note: If you've had other jobs in the past %{pay_income_days} days that don't meet these criteria, you may need to submit that income information separately.","Note: If you've had other jobs in the past [#] days that don't meet these criteria, you may need to submit that income information separately.","Nota: Si ha tenido otros trabajos en los últimos [#] días que no cumplen estos criterios, es posible que tenga que presentar esa información de ese ingreso por separado.","Nota: Si ha tenido otros trabajos en los últimos %{pay_income_days} días que no cumplen estos criterios, es posible que tenga que presentar información de ese ingreso por separado.",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.header,Do you have another job to report?,,¿Tiene otro trabajo que notificar?,¿Tiene otro trabajo que declarar?,Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.learn_more_link_html.ma,"Learn more on <a href=""https://www.mass.gov/guides/how-to-contact-dta"" target=""_blank"" rel=""noopener noreferer"">DTA's website</a>.",Learn more on [agency] website.,Obtenga más información en el sitio web [de la agencia].,"Obtenga más información en <a href=""https://www.mass.gov/guides/how-to-contact-dta"" target=""_blank"" rel=""noopener noreferer"">el sitio web de DTA</a>.",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.learn_more_link_html.nyc,"Learn more on <a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"" target=""_blank"" rel=""noopener noreferer"">HRA's website</a>.",,,"Obtenga más información en  <a href=""https://www.nyc.gov/site/hra/help/snap-application-frequently-asked-questions.page"" target=""_blank"" rel=""noopener noreferer"">el sitio web de HRA</a>.",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.learn_more_link_html.sandbox,"Learn more on <a href=""https://www.mass.gov/guides/how-to-contact-dta"" target=""_blank"" rel=""noopener noreferrer"">CBV Test Agency's website</a>.",,,"Obtenga más información en  <a href=""https://www.mass.gov/guides/how-to-contact-dta"" target=""_blank"" rel=""noopener noreferrer"">el sitio web de CBV Test Agency</a>.",Client,No,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.no_radio,"No, I don’t have another job that meets the criteria",,"No, no tengo otro trabajo que cumpla los criterios","No, no tengo otro trabajo que cumpla con los criterios",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.subheader,"Please add other jobs you’ve had in the past %{pay_income_days} days, even if you're no longer at that job.","Please add other jobs you’ve had in the past [#] days, even if you're no longer at that job.","Añada los otros trabajos que haya tenido en los últimos [#] días, incluso si ya no está en ese trabajo.","Por favor añada los otros trabajos que haya tenido en los últimos %{pay_income_days} días, incluso si ya no está en ese trabajo.",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.add_jobs.show.yes_radio,"Yes, I have another job that meets the criteria",,"Sí, tengo otro trabajo que cumple los criterios","Sí, tengo otro trabajo que cumpla con los criterios",Client,Yes,Add job,,,,,,,,,,,,,,,,,,,
en.cbv.agreements.create.error,You must check the agreement checkbox to proceed.,,Debe marcar la casilla de «acuerdo» para proceder.,Debe marcar la casilla de «acuerdo» para proceder.,Client,Need to add,Agreement,Yes,,,,,,,,,,,,,,,,,,
